,PC2,seiseki...c.6..,,
1,-1.158313762,66,,
2,-0.7184787,72,,0.189755945
3,-0.623474822,76,,
4,0.201327019,82,,
5,-0.157285236,82,,
6,0.184281236,76,,
7,-0.909877884,68,,
8,0.153931769,64,,
9,0.470803767,52,,
10,0.285276014,71,,
11,-1.120999044,50,,
12,0.039225793,56,,
13,-0.187165532,70,,
14,-0.410439579,44,,
15,0.084899444,77,,
16,-0.652068886,15,,
17,0.126404896,58,,
18,-1.27374196,77,,
19,-0.731241516,45,,
20,-0.086114738,44,,
21,-0.349641719,59,,
22,-0.023746782,74,,
23,-0.217877089,70,,
24,0.830238424,46,,
25,0.344370914,52,,
26,0.411098106,81,,
27,-0.794441638,71,,
28,-1.188543831,62,,
29,-0.543492288,41,,
30,-0.511816883,51,,
31,-0.24255063,32,,
32,-0.793136134,54,,
33,-0.42702584,67,,
34,-0.956428219,62,,
35,-0.088218772,43,,
36,-1.079850522,76,,
37,-0.225634637,53,,
38,-0.50205759,86,,
39,-0.372699923,75,,
40,0.623678418,57,,
41,-0.814242699,45,,
42,0.224045971,68,,
43,-0.660895175,59,,
44,-0.582081238,78,,
45,0.057329371,69,,
46,-0.396419956,77,,
47,-0.209863015,44,,
48,-0.909687467,69,,
49,-0.08710329,84,,
50,-0.090121107,79,,
51,0.28620781,87,,
52,0.610921653,86,,
53,0.174247586,42,,
54,0.296876093,39,,
55,0.007514433,53,,
56,-0.022488587,56,,
57,-0.859942959,79,,
58,0.07063261,24,,
59,0.632098455,78,,
60,-0.64240587,98,,
61,0.056450465,41,,
62,-0.13226845,54,,
63,-1.023265057,66,,
64,-1.148555412,71,,
65,0.154546968,50,,
66,0.241305615,62,,
67,-0.545869239,38,,
68,-0.002652036,81,,
69,0.561915566,53,,
70,-0.21430625,71,,
71,-0.99773925,34,,
72,-0.094241036,35,,
73,-0.475572668,55,,
74,0.045383634,35,,
75,-0.617257408,53,,
76,-0.920393041,49,,
77,0.33246387,70,,
78,-0.18590018,58,,
79,0.027870494,49,,
80,1.010725703,83,,
81,-0.373662738,66,,
82,0.461923084,58,,
83,0.414840922,95,,
84,0.25249136,75,,
85,0.0446576,59,,
86,0.768726756,52,,
87,0.063407152,69,,
88,0.384656935,72,,
89,-0.005411867,46,,
90,0.533026284,67,,
91,0.017994508,86,,
92,0.723767177,73,,
93,0.959191832,72,,
94,0.640570773,80,,
95,0.566677748,99,,
96,1.217213141,76,,
97,0.399562142,84,,
98,-0.571752796,69,,
99,0.301682309,61,,
100,0.60624112,65,,
101,0.145871846,75,,
102,0.71247964,65,,
103,0.083428157,56,,
104,-0.029957131,54,,
105,-0.513484443,59,,
106,0.324816304,46,,
107,0.121955893,74,,
108,-0.052075996,31,,
109,0.569751489,64,,
110,-0.962525808,43,,
111,0.017690248,97,,
112,0.229851099,54,,
113,-0.45121321,55,,
114,0.448016291,24,,
115,1.292276628,88,,
116,0.320306604,80,,
117,0.129189896,80,,
118,0.561433651,65,,
119,-0.447702106,46,,
120,-0.152177608,82,,
121,-0.317702276,73,,
122,0.2354279,67,,
123,0.064087562,84,,
124,0.634256211,65,,
125,-0.341033843,20,,
126,0.344149633,55,,
127,0.663109041,85,,
128,-0.065948791,76,,
129,-0.462860545,84,,
130,1.230251328,68,,
131,0.654925431,96,,
132,-0.793135598,59,,
133,0.959669975,71,,
134,-0.414439166,18,,
135,0.002457568,37,,
136,-0.053217215,69,,
137,0.666632481,68,,
138,0.985406653,56,,
139,0.916816923,80,,
140,0.506589259,32,,
141,0.735658521,78,,
142,-0.342022415,67,,
143,-0.039492313,42,,
144,0.471527489,66,,
145,0.121229079,54,,
146,0.937428476,59,,
147,-0.191159848,41,,
148,0.504649601,74,,
149,0.252694183,52,,
150,0.914506792,76,,
151,-0.068330049,80,,
152,-0.245368382,48,,
153,-0.189288024,42,,
154,0.322076726,54,,
155,-0.152591333,78,,
156,-0.078850955,74,,
157,-0.128243197,75,,
158,0.378924232,55,,
159,0.410769355,40,,
160,-0.069392061,55,,
161,0.650520126,67,,
162,-0.128527649,69,,
163,-0.474001668,18,,
164,0.47569583,57,,
165,1.124276845,64,,
166,-0.928303327,79,,
